preset,coeff,value,baseline,outcome,mechanism,secondary_mechanism,confidence,termination_event,duration_months,decisive_shock_score,strategic_exhaustion_score,political_exhaustion_score
wwi,recon,0.005,0.004,negotiated_settlement,strategic exhaustion,decisive shock,0.6088960582267235,negotiated settlement,20,20.9,31.6,16.9
wwi,recon,0.0065,0.004,negotiated_settlement,strategic exhaustion,decisive shock,0.6085139027412111,negotiated settlement,20,20.9,31.5,16.9
wwi,recon,0.008,0.004,negotiated_settlement,strategic exhaustion,decisive shock,0.6081308179530552,negotiated settlement,20,20.9,31.5,16.9
gulf_war_1991,fatigue_denominator,30.0,60.0,decisive_victory_a,strategic exhaustion,decisive shock,0.6171087720964675,political/military collapse of side B,30,20.7,26.9,19.4
gulf_war_1991,fatigue_denominator,52.5,60.0,decisive_victory_a,strategic exhaustion,decisive shock,0.6021344925789364,political/military collapse of side B,30,20.6,25.6,17.9
gulf_war_1991,fatigue_denominator,75.0,60.0,decisive_victory_a,strategic exhaustion,decisive shock,0.601767026355932,political/military collapse of side B,31,20.6,25.1,18.4
gulf_war_1991,fatigue_denominator,97.5,60.0,decisive_victory_a,strategic exhaustion,decisive shock,0.6007973723043762,political/military collapse of side B,33,20.6,25.0,18.6
gulf_war_1991,fatigue_denominator,120.0,60.0,decisive_victory_a,strategic exhaustion,decisive shock,0.6179749513634197,political/military collapse of side B,35,20.6,25.5,22.8
vietnam_war,fatigue_denominator,30.0,60.0,decisive_victory_a,strategic exhaustion,decisive shock,0.5777558725950485,political/military collapse of side B,16,20.7,28.3,9.4
vietnam_war,fatigue_denominator,52.5,60.0,decisive_victory_a,strategic exhaustion,decisive shock,0.5729695251629334,political/military collapse of side B,17,20.7,27.9,9.3
vietnam_war,fatigue_denominator,75.0,60.0,decisive_victory_a,strategic exhaustion,decisive shock,0.578445687080311,political/military collapse of side B,18,20.7,28.3,9.3
vietnam_war,fatigue_denominator,97.5,60.0,decisive_victory_a,strategic exhaustion,decisive shock,0.579458882186231,political/military collapse of side B,19,20.6,28.5,9.1
vietnam_war,fatigue_denominator,120.0,60.0,decisive_victory_a,strategic exhaustion,decisive shock,0.577152697401427,political/military collapse of side B,19,20.6,28.3,9.0
wwi,fatigue_denominator,30.0,60.0,negotiated_settlement,strategic exhaustion,decisive shock,0.6100823489520125,negotiated settlement,18,21.0,31.7,17.5
wwi,fatigue_denominator,52.5,60.0,negotiated_settlement,strategic exhaustion,decisive shock,0.6031438433822877,negotiated settlement,19,20.9,31.2,16.0
wwi,fatigue_denominator,75.0,60.0,negotiated_settlement,strategic exhaustion,decisive shock,0.610842510830123,negotiated settlement,21,20.9,32.0,17.2
wwi,fatigue_denominator,97.5,60.0,negotiated_settlement,strategic exhaustion,decisive shock,0.6147982986018996,negotiated settlement,22,20.9,32.2,16.9
wwi,fatigue_denominator,120.0,60.0,negotiated_settlement,strategic exhaustion,decisive shock,0.6180889544942052,negotiated settlement,23,20.9,32.6,17.1
gulf_war_1991,shock_damage,2.5,5.0,decisive_victory_a,strategic exhaustion,decisive shock,0.6756568273202598,political/military collapse of side B,55,20.8,35.3,29.2
gulf_war_1991,shock_damage,4.375,5.0,decisive_victory_a,strategic exhaustion,decisive shock,0.618782668150065,political/military collapse of side B,35,20.7,26.6,22.9
gulf_war_1991,shock_damage,6.25,5.0,decisive_victory_a,strategic exhaustion,decisive shock,0.5960346361341728,political/military collapse of side B,29,20.6,24.8,17.8
gulf_war_1991,shock_damage,8.125,5.0,decisive_victory_a,strategic exhaustion,decisive shock,0.605922536666297,political/military collapse of side B,25,20.6,23.6,20.4
gulf_war_1991,shock_damage,10.0,5.0,decisive_victory_a,strategic exhaustion,decisive shock,0.5847346402601961,political/military collapse of side B,20,20.5,21.7,18.0
vietnam_war,shock_damage,2.5,5.0,decisive_victory_a,strategic exhaustion,decisive shock,0.5921123954995017,political/military collapse of side B,20,20.7,29.8,10.0
